,tweet_text,emotion,target,norm_tweet
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",Positive emotion,0,rt haha awesomely rad ipad app
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Positive emotion,0,someone start group google group pre great idea
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,Positive emotion,0,new look go rock update iphone android push tonight
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Positive emotion,0,right app sweeeeet nice job team
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),Positive emotion,0,smart ipad app leave vuvuzela home
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,Positive emotion,0,app ipad go
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,Positive emotion,0,best rt ha first line quotpopupquot apple store event planner
38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Negative emotion,1,false alarm google circle come nowand probably ever link
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Positive emotion,0,great weather greet still need sweater nightapple put quotflash storequot sell
45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,Positive emotion,0,open instant access wait get link
46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},Positive emotion,0,handheld hobo drafthouse launch hobo shotgun iphone app link
47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Positive emotion,0,hooray rt apple open popup store austin link
49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Positive emotion,0,wooooo apple store downtown austin open til midnight
55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Positive emotion,0,talk link google effort user open system
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,Positive emotion,0,link rt stop amp hunt austin java get spy game chance win ipad
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Positive emotion,0,rt heard apples popup store downtown austin pic already gowalla link
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,Negative emotion,1,rt line apple store insane
67,attending @mention iPad design headaches #sxsw {link},Negative emotion,1,attend ipad design headache link
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Negative emotion,1,boooo rt flipboard develop iphone version android say
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},Positive emotion,0,check amp line ipad austin power link
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Positive emotion,0,rt come party w google tonight link band food art ice cream nifty interactive map
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Positive emotion,0,holla rt google party best ever get butt
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,Positive emotion,0,love iphone case cant get phone
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,Positive emotion,0,new post iphone app make easy connect social network people meet link
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,Positive emotion,0,nice iphone app behave today crash yesterday ridiculous
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Positive emotion,0,nice rt hey apple fan get peek space thats slat popup apple store tomorrow link
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Positive emotion,0,thing great get great earth face google company love
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,Positive emotion,0,thanks mention new ipad apps showcased conf link
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,Negative emotion,1,provide iphone charger ive change mind go next year
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",Positive emotion,0,xmas rt shiny new apps new book popup ipad store christmas nerd
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},Positive emotion,0,yai rt new app store include uberguide sponsor cont link
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Positive emotion,0,fast fun amp future google present search local mobile
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,Positive emotion,0,headline quot musthave gadget quot hmm see come link
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Negative emotion,1,know quotdatavizquot translates quotsatanicquot iphone im sayin
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Positive emotion,0,quotgoogle launch checkins month agoquot check in ok check out future
106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Positive emotion,0,quotgoogle tweetquot new quotthink speakquot mark belinsky panel
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Positive emotion,0,kawasaki quotnot c lewis level reason apple continue existence evidence existence godquot
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Positive emotion,0,kawasaki quotpagemaker save applequot oh day
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Positive emotion,0,spark award read link
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",Positive emotion,0,ipad great thought japan apac region deal w earthquake amp tsunami trauma
116,"At #SXSW, #Apple schools the marketing experts - {link}",Positive emotion,0,school marketing expert link
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Positive emotion,0,temporary store def tent powerhouse gym link
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Positive emotion,0,temporary store congress happy hipster
120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Positive emotion,0,win link open temporary store downtown austin support launch good
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,Positive emotion,0,trend today fun nerdy nerd
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,Positive emotion,0,christian devs want talk u maybe wk together cool app
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,Positive emotion,0,apple take storm link excite part
127,I can haz #iPad2 ifrom #SxSW Gr8 {link},Positive emotion,0,haz ifrom link
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",Positive emotion,0,stack wait buy got mine hassle apple handle perfectly link
131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,Positive emotion,0,need review play google placeswe get app thatlink
135,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",Positive emotion,0,take rt major south korean director get make movie entirely iphone link
136,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Positive emotion,0,beautiful apple store sxsw pic link
142,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},Positive emotion,0,app rt lovely review forbes sxsw ipad app holler gram link
143,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Positive emotion,0,temporary apple store apple sneaky usual link
145,ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,Positive emotion,0,beta test interactive book ipad app moonbot studio louisiana cool app
146,Apple won #SxSW from day one. Seeing a TON of #iPad2,Positive emotion,0,apple day seeing ton
149,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,Positive emotion,0,ipad store sell everything wifi white manage get
150,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,Positive emotion,0,ipad store sell everything wifi white also know white jean configuration
151,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,Positive emotion,0,offer ipad promo ninjafinder user fan suck
156,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,Positive emotion,0,learn lifechanging impact ipad real people actual life bravo
157,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,Positive emotion,0,lonelyplanet austin guide free limited time link
161,The Apple #SXSW store still has iPad 2's and short lines.,Positive emotion,0,apple store still ipad short line
163,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Positive emotion,0,leave tradeshow demo google theatre ok get see presenter use
166,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,Positive emotion,0,anyone want make quick dollar new ad hoc apple store get hundred cost
168,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Positive emotion,0,monday barry diller new york time congress lunch w hotel party google party dirty martini monday
170,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",Negative emotion,1,seriously test mobile apps constant ipad crash cause lose schedule sync
171,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,Positive emotion,0,ready iphone apps make ur blogging easy link
172,ipad2 and #sxsw...a conflagration of doofusness.  {link},Negative emotion,1,conflagration doofusness link
173,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Positive emotion,0,attention er link rumor popup temporary apple store ipad launch need
174,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},Positive emotion,0,go lousy link
177,This is a #WINNING picture #android #google #sxsw {link},Positive emotion,0,picture link
180,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",Negative emotion,1,spent come sxsw youve already use ipad wait couple city block link
182,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,Positive emotion,0,email give line iphone compose reply
183,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,Positive emotion,0,night line block popup apple store sell
190,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",Negative emotion,1,im ipad see wild people say fast still pic terrible
192,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},Positive emotion,0,take video link
193,many iPad 2's snapping away at the keynote slides! #sxsw,Positive emotion,0,many ipad snap away keynote slide
196,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,Positive emotion,0,new post iphone apps well use south southwest interactive link
198,sweet new 3-d google maps demo going on in ballroom D #SXSW,Positive emotion,0,sweet new google map demo go ballroom
199,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Positive emotion,0,mile day drive google map navigation
203,#SXSW day 5 at the #apple store and there's still a line...and growing {link},Positive emotion,0,day store there still lineand grow link
206,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Positive emotion,0,youre band want share track audience stage use frostwire android theres wifi available
211,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,Positive emotion,0,u iphone dont need caruse zimride share ride
214,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,Positive emotion,0,pick mophie battery case iphone prep lug around laptop amp use phone huge win last year
217,"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Positive emotion,0,rumor monger good read preview link
219,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,Positive emotion,0,hobo shotgun video game come ipadiphone user yes please link
220,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Positive emotion,0,build store less hour big launch companys history get
223,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,Positive emotion,0,read sound incredible app available android phone yet
233,"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",Negative emotion,1,iphone alarm botch timechange many er freak late flight miss panel bloody mary
234,Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,Positive emotion,0,shouts lady hold ipad free show take photo sip free beer cc
236,I meant I also wish I  at #SXSW #dyac stupid iPhone!,Negative emotion,1,meant also wish stupid iphone
240,Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Positive emotion,0,rumor apple store opening amp congress sign point yes link
244,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,Positive emotion,0,pick ipad pop apple store minute wait
245,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Positive emotion,0,brilliant enlighten game mechanic presentation google
251,marketing and sales GENIUS: {link} #Apple #SXSW,Positive emotion,0,marketing sale genius link
257,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",Positive emotion,0,need ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charge people
259,The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,Positive emotion,0,app iphone ridiculous personal planner next day
261,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",Negative emotion,1,find kyping iphones geolocation release background need patch
262,the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,Positive emotion,0,app iphone live rsvp event phone amp check sundayswaggereventbritecom
264,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},Positive emotion,0,love app awesome rt see app quotbizzyquot link
268,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,Negative emotion,1,course apple build store austin texas understand concept corral cattle
269,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},Positive emotion,0,love apple didnt let something retail store keep open popup store link
270,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Positive emotion,0,surprise apple open popup store austin nerd town get new link
271,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,Positive emotion,0,surprise apple open popup store austin nerd town get new ipads link
273,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Positive emotion,0,surprise apple open popup store austin nerd town get new ipads link
275,ÛÏ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Positive emotion,0,apple great example retail store layed future register checkout line
276,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,Positive emotion,0,apple open temporary store downtown austin ipad launch link
277,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Negative emotion,1,apple open temporary store downtown austin ipad launchquot yay traffic
280,"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",Positive emotion,0,apple popup store open noon fresh shipment ipad im pretty sure im go get finger cross
281,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",Positive emotion,0,apple save sxsw set open popup store link
283,"At #SXSW, Apple schools the marketing experts {link}",Positive emotion,0,apple school marketing expert link
284,"At #SXSW, Apple schools the marketing experts {link} via @mention",Positive emotion,0,apple school marketing expert link
285,"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Positive emotion,0,apple school marketing expert link ltlt true love loathe marketing
286,"At #SXSW, Apple schools the marketing experts | CNET - {link}",Positive emotion,0,apple school marketing expert cnet link
287,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",Positive emotion,0,apple school marketing expert cnet blog link
288,ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ @mention there's still time :),Positive emotion,0,apple store downtown austin open til midnight there still time
291,&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw,Negative emotion,1,quotthe apple store mall sunday crowd line fake need fuck donglequot genius let
294,Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple,Positive emotion,0,makeshift apple store congress youre kid amaze
296,Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy,Positive emotion,0,temporary apple store sxsw really coolas ipad
297,Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.,Positive emotion,0,temporary apple store set shit temptation go control
300,Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,Positive emotion,0,temporary apple store open congress line already grow viewio link
301,Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2,Positive emotion,0,temporary apple store block office cant wait see line tomorrow photo come
304,iPad news apps 'so last year' at #SXSW {link},Negative emotion,1,ipad news apps last year link
305,10 iPhone Apps youÛªll Probably Need and Use During #SXSW {link},Positive emotion,0,iphone apps youll probably use link
306,Now there are 150 million mobile google maps users @mention #sxsw,Positive emotion,0,mobile google map user
308,And a few are Android too RT @mention 10 New Mobile Apps IÛªll Be Using atåÊ#SXSW  {link},Positive emotion,0,android rt new mobile apps ill use link
310,"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",Positive emotion,0,ipad apps software development release start work update
323,Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,Positive emotion,0,overheard quotthe ipad relax computerquot agree
324,Overheard at #sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; #shocked,Negative emotion,1,overheard interactive quotarg hate iphone want blackberry backquot
326,ÛÏ@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Negative emotion,1,quotapple come cool technology one ever hear dont go conferencesquot
331,"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",Positive emotion,0,last year everbody talk ipad year social medium drive revolution year well
332,"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW",Positive emotion,0,long line apple pop store ipad great marketing apple
333,"ÛÏ@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSWÛ",Positive emotion,0,google people work people rather people work
334,knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw,Positive emotion,0,knackered home playing ipad update iphone timeline smash partytweets cant make go bed
335,overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to #sxsw&quot; #amateurhour,Negative emotion,1,overheard mdw ill second quothalfway iphone battery already havent even board plane quot
336,"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",Positive emotion,0,sxsw apple school marketing expert link
337,First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,Positive emotion,0,first day sxsw fun final presentation google doodle
338,Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad,Positive emotion,0,huge line store crowd trip get new ipad
339,If ur not at the #google #aclu 80's party....u should be! #sxsw,Positive emotion,0,ur partyu
344,I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. #sxsw,Positive emotion,0,laugh ipad spent week haul macbook everywhere really want ipad shoulder rub
345,Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,Positive emotion,0,attendee need qr code reader iphone tweet image badge first get optiscan free
346,Hey #SXSW attendees...you should hop in line at the #Apple store now. Only four days til your new iPad2 comes in...,Positive emotion,0,hey attendeesyou hop line store day til new come
350,they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android,Negative emotion,1,take lego pit replace recharge station check price iphone crap samsung android
352,".@mention Bad Apple: shows up late, Qs the process, poo-poos ideas, leaves early. Can even be &quot;I'm too creative&quot; or busy #gamestorming #sxsw",Negative emotion,1,bad apple show late qs process poopoos idea leave early even quotim creativequot busy
354,Trying to balance the power of power needs on iPhone vs iPad at #sxsw. This 3G iPad sucks it out quick. Might have go airplane mode.,Negative emotion,1,try balance power power need iphone v ipad ipad suck quick go airplane mode
356,My iPhone battery at 100%. #winning at #SXSW,Positive emotion,0,iphone battery
357,My iPhone battery can't keep up with my tweets! Thanks Apple.  #SXSW  #precommerce,Negative emotion,1,iphone battery cant keep tweet thanks apple
359,this will be fun to watch. #ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} #sxsw,Positive emotion,0,fun watch rt apple open popup store austin sxsw link
360,This will be out of control: #Apple set to open popup shop in core of #SXSW action {link} via @mention  cc @mention,Positive emotion,0,control set open popup shop core action link cc
362,Celebrate Beauty of the Web @mention the MSFT #IE9 launch &amp; play our new #html5 game to win an iPad2 {link} #sxsw,Positive emotion,0,celebrate beauty web msft launch amp play new game win link
367,ÛÏ@mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot;  @mention,Negative emotion,1,best thing ive heard weekend quoti give ipad money relief dont need ipad
369,IPad 2 is better..they have had time to improve #sxsw,Positive emotion,0,ipad betterthey time improve
371,{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the #EarthHour 60+ iPhone app. #SXSW,Positive emotion,0,link go earth hour year share positive action world download iphone app
373,Google vs Bing on #bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs #Google. #SXSW,Negative emotion,1,google v bing bing shot success w structure search potentially high margin cpa model v
374,Of course Bing results are good they are Google's:) #SEO #SXSW #qagb,Positive emotion,0,course bing result good google
380,impulsive buy = all your friends at #SXSW -&gt; I now have one too. Selling my 1st gen 32gb 3g iPad now,Positive emotion,0,impulsive buy friend gt selling gen ipad
381,ÛÏ@mention Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2Û :),Positive emotion,0,buy new ipads
382,Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW {link},Positive emotion,0,someone buy present rt apple open popup store austin link
383,Nice find by RSQ's @mention {link} #sxsw #iPad #app,Positive emotion,0,nice find rsqs link
386,&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw,Positive emotion,0,quotyou google canadian tuxedo lose hoursquot
388,"Exciting, canÛªt wait! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link}",Positive emotion,0,excite cant wait rt apple open temporary store downtown austin amp ipad launch link
389,"Great for certain meetings. RT @mention Hello, Holler Gram, our new iPad app {link} #hollergram #sxsw",Positive emotion,0,great certain meeting rt hello holler gram new ipad app link
